Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
1511827200.0,2017-11-28,BTCMXN,185899.99,187770.98,180090.01,185600,410.82,75910751.61
1511740800.0,2017-11-27,BTCMXN,171498.48,185899.99,170500.01,185899.99,471.62,84099756.27
1511654400.0,2017-11-26,BTCMXN,164901.01,176866.57,164000.01,171498.48,300.31,51154109.35
1511568000.0,2017-11-25,BTCMXN,154793.93,164978.99,153250,164901.01,233.61,37079480.61
1511481600.0,2017-11-24,BTCMXN,150900,154999,150000,154793.93,252.58,38661712.53
1511395200.0,2017-11-23,BTCMXN,149700,154988.64,149700,150900,138.64,21242625.46
1511308800.0,2017-11-22,BTCMXN,149700,149700,149700,149700,0.0,0.0
1511222400.0,2017-11-21,BTCMXN,149700,149700,149700,149700,0.0,0.0
1511136000.0,2017-11-20,BTCMXN,149700,149700,149700,149700,0.0,0.0
1511049600.0,2017-11-19,BTCMXN,149700,149700,149700,149700,0.0,0.0
1510963200.0,2017-11-18,BTCMXN,149700,149700,149700,149700,0.0,0.0
1510876800.0,2017-11-17,BTCMXN,149700,149700,149700,149700,0.0,0.0
1510790400.0,2017-11-16,BTCMXN,141235,149700,139000,149700,0.9971,139670.59
1510704000.0,2017-11-15,BTCMXN,129389.92,142299.99,128501,141235,300.43,40945403.55
1510617600.0,2017-11-14,BTCMXN,129197,133199.99,125501.01,129389.92,303.97,39199908.54
1510531200.0,2017-11-13,BTCMXN,122599,134200,115200,129197,642.83,81159472.31
1510444800.0,2017-11-12,BTCMXN,127800,130100,108000.77,122599,834.2,100889800.24
1510358400.0,2017-11-11,BTCMXN,133300,141000,126000,127800,388.13,50653362.53
1510272000.0,2017-11-10,BTCMXN,140641.47,144000,126000,133300,608.35,81704560.12
1510185600.0,2017-11-09,BTCMXN,144810.07,145464.73,139000,140641.47,347.16,48858491.69
1510099200.0,2017-11-08,BTCMXN,137500,149998,136700,144810.07,629.58,90172567.09
1510012800.0,2017-11-07,BTCMXN,136690,142000,135005,137500,358.4,49591001.68
1509926400.0,2017-11-06,BTCMXN,143539.99,144999.99,133507,136690,516.94,71914560.37
1509840000.0,2017-11-05,BTCMXN,143510,146510,141513.25,143539.99,142.86,20608592.66
1509753600.0,2017-11-04,BTCMXN,143492.87,145500,136000,143510,255.38,36026991.68
1509667200.0,2017-11-03,BTCMXN,134000.24,147999.99,132000,143492.87,583.47,82663874.53
1509580800.0,2017-11-02,BTCMXN,131998.99,139990,129500.03,134000.24,459.99,61531562.28
1509494400.0,2017-11-01,BTCMXN,124989.93,131998.99,123500,131998.99,370.36,47341656.59
1509408000.0,2017-10-31,BTCMXN,116790,125049.43,116300.06,124989.93,362.42,43698970.55
1509321600.0,2017-10-30,BTCMXN,115200,117500,113000,116790,250.07,29002990.28
1509235200.0,2017-10-29,BTCMXN,110702.64,118000.89,109500.05,115200,207.77,23704995.71
1509148800.0,2017-10-28,BTCMXN,111989.93,113704.99,109250,110702.64,139.98,15517076.64
1509062400.0,2017-10-27,BTCMXN,114392.4,115499,109017,111989.93,252.71,28237166.07
1508976000.0,2017-10-26,BTCMXN,109501.04,114900,108700.01,114392.4,296.93,33593291.01
1508889600.0,2017-10-25,BTCMXN,108999.99,110200,104201,109501.04,358.59,38147418.67
1508803200.0,2017-10-24,BTCMXN,114289.91,114289.91,107100.01,108999.99,463.62,50884821.47
1508716800.0,2017-10-23,BTCMXN,114561.06,117652.14,108000,114289.91,392.75,44005219.81
1508630400.0,2017-10-22,BTCMXN,115963.52,117422,110185.14,114561.06,164.28,18628515.59
1508544000.0,2017-10-21,BTCMXN,114065.07,120000,112000,115963.52,300.39,34990695.7
1508457600.0,2017-10-20,BTCMXN,106200,115155.98,106001,114065.07,409.87,45664906.56
1508371200.0,2017-10-19,BTCMXN,104699.99,107000,103290,106200,303.11,32020102.14
1508284800.0,2017-10-18,BTCMXN,105502.96,106201.05,95000,104699.99,487.34,49029994.63
1508198400.0,2017-10-17,BTCMXN,105100,106480,103600,105502.96,220.66,23195389.18
1508112000.0,2017-10-16,BTCMXN,103349.98,105800,101200,105100,257.56,26859855.79
1508025600.0,2017-10-15,BTCMXN,103510.07,104600,100100,103349.98,180.58,18414551.74
1507939200.0,2017-10-14,BTCMXN,102480.84,104000,101122.99,103510.07,129.15,13266536.04
1507852800.0,2017-10-13,BTCMXN,100993.91,109000,97350.01,102480.84,673.91,68990555.7
1507766400.0,2017-10-12,BTCMXN,89510.07,100995,89510.07,100993.91,673.32,65059629.76
1507680000.0,2017-10-11,BTCMXN,88000,90398,87400,89510.07,251.23,22411452.61
1507593600.0,2017-10-10,BTCMXN,87010.05,90498,86800,88000,514.14,45543946.69
1507507200.0,2017-10-09,BTCMXN,82006.07,89000,81755,87010.05,393.79,33623249.23
1507420800.0,2017-10-08,BTCMXN,81469.99,82797.83,80500.23,82006.07,120.23,9860344.94
1507334400.0,2017-10-07,BTCMXN,80688.75,81500,79850,81469.99,93.23,7510037.55
1507248000.0,2017-10-06,BTCMXN,79680.27,80949.99,78501,80688.75,253.25,20287136.43
1507161600.0,2017-10-05,BTCMXN,77400,80500,76420,79680.27,365.57,28851542.61
1507075200.0,2017-10-04,BTCMXN,78996.43,79499,76635,77400,283.45,21983499.74
1506988800.0,2017-10-03,BTCMXN,79413,80200.9,77001,78996.43,287.13,22583000.81
1506902400.0,2017-10-02,BTCMXN,79461,80000,78803,79413,256.51,20410683.93
1506816000.0,2017-10-01,BTCMXN,78748.85,79490,77199,79461,87.16,6817251.52
1506729600.0,2017-09-30,BTCMXN,75651.73,78999.99,75003.51,78748.85,170.83,13253119.47
1506643200.0,2017-09-29,BTCMXN,75904.07,76699.99,71865.1,75651.73,365.01,27292681.51
1506556800.0,2017-09-28,BTCMXN,75910,77000,74800,75904.07,281.86,21419000.1
1506470400.0,2017-09-27,BTCMXN,70175.12,76629.99,70061.17,75910,368.38,27240947.02
1506384000.0,2017-09-26,BTCMXN,70102.72,71000,69385,70175.12,308.46,21700900.01
1506297600.0,2017-09-25,BTCMXN,67007.73,70950,66470.04,70102.72,298.62,20720726.65
1506211200.0,2017-09-24,BTCMXN,67459.64,68335.66,65500,67007.73,101.85,6801611.82
1506124800.0,2017-09-23,BTCMXN,66009.9,71100,64892.78,67459.64,236.17,16038665.67
1506038400.0,2017-09-22,BTCMXN,65753.66,68734.64,63001,66009.9,391.57,25691569.32
1505952000.0,2017-09-21,BTCMXN,70888,70978.67,64951,65753.66,458.36,30825108.99
1505865600.0,2017-09-20,BTCMXN,71310.05,72789.99,69700,70888,253.15,18033104.31
1505779200.0,2017-09-19,BTCMXN,74399,74899.99,70450,71310.05,420.9,30409924.12
1505692800.0,2017-09-18,BTCMXN,67751.19,74899,67703.87,74399,402.12,29065048.05
1505606400.0,2017-09-17,BTCMXN,69600,70699.95,65801,67751.19,202.16,13753895.02
1505520000.0,2017-09-16,BTCMXN,71997.11,75000,65300,69600,365.99,25845492.84
